Artifact_Name,Museum_Name,Artifact_Type,Material,Period_Dating,Finding_Place,Gallery_No,Dimensions,Credit_Donor,Description,Image_URL,Source_Link
Varaha (Boar) Avatar,Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Vishnu as boar rescuing earth goddess Bhudevi. This relief panel depicts the third avatar of Vishnu. The god has the body of a man and the head of a wild boar. He raises the earth goddess (personified as a small female figure) on his left tusk while trampling the serpent king Shesha. The composition is dynamic, with swirling lines suggesting the cosmic waters. Below, figures of sages and gods witness the event. The iconography follows the Vaishnava canon of the medieval period.",,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Durga Mahishasuramardini,Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Durga slaying buffalo demon, lion vehicle below. This stele depicts the goddess in her most celebrated form. Durga has ten arms holding various weapons given by the gods: trident, discus, sword, bow, arrow, mace, shield, conch, noose, and a drinking cup. Her lion leaps onto the buffalo demon Mahishasura, who emerges from the slain animal’s neck. Durga’s trident pierces the demon’s chest. The relief is filled with energy and dramatic tension, symbolizing the triumph of good over evil.",,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Kali Fierce Goddess,Bangladesh National Museum,Sculpture,Black Basalt,11th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Kali standing on Shiva, garland of heads, skirt of arms. This fearsome sculpture of the goddess Kali shows her in her cremation ground aspect. She stands on the prone body of her consort Shiva, who lies calmly on a lotus. Kali has four arms: one holds a sword, another a severed head, the lower two make gestures of blessing and reassurance. She wears a garland of fifty human heads and a skirt of severed arms. Her eyes are bulging, and her tongue protrudes. The sculpture is a profound expression of tantric philosophy, where destruction and creation are intertwined.",,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Ganesha Elephant God,Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Ganesha seated with rat vehicle, potbelly, holding axe, noose. This well-preserved sculpture shows Ganesha in a lalitasana (relaxed seated pose) on a lotus pedestal. His vahana (vehicle), a bandicoot rat, is depicted nibbling on a sweet at the base. Ganesha’s four hands hold a broken tusk, a noose (pasha), an axe (parashu), and a bowl of sweets. His trunk curls to the left to reach the sweets. The elephant-headed god is beloved as the remover of obstacles and the lord of beginnings. The carving displays the characteristic softness and fleshiness of Pala art.",https://drive.google.com/file/d/1MJHD_I-Sn7PZUNiGnhfyNQfTyDni4zXY/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Parasurama Avatara,Bangladesh National Museum,Sculpture,Black Basalt,c. 11th century CE,"Tongibari, Dhaka",History and Classical Art,82.55 × 40.64 cm,Excavation find,"Parasurama (Sanskrit: ""Rama with the Axe"") is the sixth of the ten avatars (Dashavatara) of Vishnu, representing the warrior-brahmin who rid the earth of the kshatriya class twenty-one times. This blackstone sculpture, carved in approximately the 11th century CE and discovered at Tongibari, Dhaka, depicts the four-armed god standing in tribhanga — the classical three-bend contrapposto pose of Indian sculpture — on a visvapadma, a fully bloomed lotus pedestal.",https://drive.google.com/file/d/1ZnuWTe6bBJgY0OH-ym3XuCzngyme8wNN/view?usp=sharing,https://www.facebook.com/profile.php?id=100087149261578 
Mahamaya,Bangladesh National Museum,Hindu Sculpture — Shaiva / Shakta,Black Basalt,11th–12th century CE (Sena period),"Kagajipara, Vikrampur, Munshiganj District",History and Classical Art,,,"The four-armed goddess is depicted seated in padmasana (lotus posture) or vajrasana on a lotus throne, her body frontal and perfectly composed in deep meditation. The two front hands rest joined in her lap in dhyana-mudra — the gesture of meditative absorption, both palms open and resting one upon the other, the universal hand gesture of concentrated inner stillness. This is the central visual statement of the entire sculpture: the supreme goddess, in all her cosmic power, choosing the posture of meditation — of inward withdrawal from the phenomenal world — before the Shiva-linga that rises massively before her.

The linga is depicted at a scale that makes it the dominant vertical element of the lower composition — deliberately monumental, establishing Shiva's presence as the object of the goddess's devotion even in his unanthropomorphic, purely symbolic form. The relationship between the meditating goddess and the linga encodes the entire theology of Shaiva-Shakta non-dualism: Shiva and Shakti are inseparable — she is the power by which he acts, he is the consciousness in which she subsists, and her meditation before his linga is simultaneously an act of devotion and a self-recognition.

In the upper right hand she holds an akshamala — a rosary of prayer beads — the attribute of continuous japa (silent recitation of the divine name), linking her meditation to the devotional practices of human worshippers below. In the upper left hand she holds a pustaka — a manuscript or book — identifying her simultaneously with divine knowledge (jnana), the preservation of sacred learning, and the goddess Sarasvati's domain of wisdom and speech. This combination of dhyana-mudra, akshamala, and pustaka in a Shaiva goddess image is iconographically unusual and accounts for much of the scholarly debate over identification.

The back-slab is elaborately carved in the dense, richly populated Southeast Bengal style, consistent with the Vikramapura school's characteristic treatment of the sculptural field as a complete cosmological assembly. The face — as described by Banglapedia — carries half-closed eyes, beautifully carved eyebrows, and lips invested with a serene and sublime grace hardly matched in any other sculpture of the period. The Sena period's characteristic tendency toward fuller, more sensuous facial modelling — departing from the restrained meditative composure of the earlier Pala school — is here elevated to a standard of refined perfection",https://drive.google.com/file/d/1FDuXYMxgZdZCrum75rZEeGjpB-JfRv0F/view?usp=sharing,https://en.banglapedia.org/index.php/Iconography
Sculpture of Sheikh Mujibur Rahman,Bangladesh National Museum,Sculpture,Bronze,Post-1971,Dhaka,Modern Gallery,,,,https://upload.wikimedia.org/wikipedia/commons/3/36/Composition_by_Novera_Ahmed.jpg,https://dailyasianage.com/news/37319/national-museum-displays-new-collections-of-artefacts
Famine Sketch — Dead Bodies on Riverbank,Bangladesh National Museum,Painting/Sketch,Ink on Paper,1943 CE,Calcutta,Gallery 7,,Artist: Zainul Abedin,,https://imp-art.org/wp-content/uploads/2026/05/3.-Famine-Sketch-1943-Black-ink-on-paper-46-x-57-cm-Bangladesh-National-Museum-collection.jpg-1-1024x805.jpeg,https://imp-art.org/perspectives/dispatches/the-artist-as-witness-zainul-abedins-famine-sketches/
Famine Sketch — Man Lying Face Down,Bangladesh National Museum,Painting/Sketch,Ink on Paper,1943 CE,Calcutta,Gallery 7,,Artist: Zainul Abedin,,https://imp-art.org/wp-content/uploads/2026/05/3.-Famine-Sketch-1943-Black-ink-on-paper-46-x-57-cm-Bangladesh-National-Museum-collection.jpg-1-1024x805.jpeg,https://imp-art.org/perspectives/dispatches/the-artist-as-witness-zainul-abedins-famine-sketches/
Rural Bengal — Bullock Cart Scene,Bangladesh National Museum,Painting,Watercolor on Paper,c. 1950s–1960s,Rural Bengal,Gallery 7,,Artist: Zainul Abedin,,,https://imp-art.org/perspectives/dispatches/the-artist-as-witness-zainul-abedins-famine-sketches/
Rural Bengal — Women at Work,Bangladesh National Museum,Painting,Watercolor on Paper,c. 1950s–1960s,Rural Bengal,Gallery 7,,Artist: Zainul Abedin,,,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Bengal Landscape — River Scene,Bangladesh National Museum,Painting,Watercolor on Paper,c. 1950s–1960s,Bangladesh,Gallery 7,,Artist: Zainul Abedin,,,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
GARUDA,Bangladesh National Museum,Sculpture,Black basalt,11th Century,"Chakhar, Barisal",,Ht. 63.5 cm,Mr. Enayet Karim,"Garuda, the divine eagle-vehicle (vahana) of Vishnu, is depicted in Indian sculptural tradition as a powerful winged male figure with an eagle's beak and round eyes. His mythology is elaborated in the first book of the Mahabharata: he was the son of the sage Kashyapa by Vinata, daughter of Daksha. Vinata had lost her freedom to Kadru — Kashyapa's other wife and mother of the serpents — in a wager, and was serving as Kadru's slave at the time of Garuda's birth. The serpents promised to free Vinata if Garuda brought them the elixir of immortality (amrita) from heaven. In accomplishing this task Garuda carried an enormous burden through the sky — from which derives his name: guru (heavy) and ura (flying). After a fierce battle with the gods, while returning with the amrita, he encountered Vishnu. Vishnu was so pleased by Garuda's extraordinary self-restraint — that he had not tasted the amrita even when it was within his grasp — that a mutual exchange of boons followed: Garuda received immortality without drinking the amrita and was granted a place above Vishnu on the flagstaff, while Vishnu received him as his eternal mount. Garuda's two other well-known names, Garutmat and Suparna, are found in the Rigveda, and the story of his conquest of the amrita is itself of Vedic origin.",https://drive.google.com/file/d/1g8o4UtQ0j7JA7mcR2JrGyIBmZ5whObd6/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Standing Vishnu Image — Pala Period,Bangladesh National Museum,Sculpture,white,9th–10th century CE,Dinajpur/Rangpur,Gallery 6,,Excavation find,,https://drive.google.com/file/d/1Hwfmu-6iTicDYkFfDmyvY91zgK2VoqK3/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Vishnu Anantasayin (Reclining Vishnu),Bangladesh National Museum,Hindu sculpture,Black Basalt,10th century CE (Pala period),"Joradeul, Munshiganj",Pre-Islamic Art and Sculpture Gallery,Height 82 cm,,"This sculpture represents Vishnu in a standing posture (samapadasana) upon a lotus pedestal, carved in the characteristic Pala school of art style. Vishnu is adorned with a tall crown and regal ornaments — earrings, necklaces, armlets, and waist-belt — reflecting divine kingship. His four hands hold the traditional attributes:

Shankha (conch) — symbol of primordial sound and creation.

Chakra (discus) — emblem of cosmic order and destruction of evil.

Gada (mace) — representing strength and mental power.

Padma (lotus) — signifying purity and spiritual liberation.

Flanking Vishnu are his two consorts: Lakshmi, goddess of wealth and beauty, seated on a lotus, and Saraswati, goddess of knowledge and music, also seated on a lotus. The back-slab (chaalchitra) is richly carved with a kirtimukha (lion face) at the top to ward off evil, flying celestial beings (gandharvas) offering praise, and a long garland (vanamala) cascading down Vishnu’s body.",https://drive.google.com/file/d/1aH_ABfZFTGvgbyevspD6GCMYd2piDuao/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Vishnu Trivikrama (Three-Step Vishnu),Bangladesh National Museum,Hindu sculpture,Black Basalt,10th century CE (Pala period),"Joradeul, Munshiganj","Gallery 5,Pre-Islamic Art and Sculpture Gallery",Height 98 cm,,"This rare sculpture portrays Vishnu in his Vamana (Trivikrama) incarnation, the dwarf who expands to cosmic size to subdue King Bali. Vishnu is shown with one leg raised, symbolizing his cosmic stride across the universe. He holds the mace and discus, emphasizing divine power and cosmic order. The carving style is typical of the Pala dynasty, with elaborate detailing on ornaments, crown, and body posture. The myth behind this form narrates how Vishnu, as the dwarf Brahmin, asked Bali for three steps of land, then expanded to measure earth, heaven, and finally placed his foot on Bali’s head, sending him to the underworld. This sculpture embodies both mythological narrative and artistic mastery, representing Vishnu’s role as preserver of cosmic balance.",https://drive.google.com/file/d/1pjNc_Oj-6VXzIflkaPfslxr471ASbquZ/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Vishnu Narasimha (Man-Lion Avatar),Bangladesh National Museum,Sculpture,Black Basalt,10th century CE,"Sebait Kali Mandir, Vikramapura,Munshiganj",Gallery 6,85.09 52.07 cm,"Sri Krishna Kanti, Chakrabarti, Sebait Kali Mandir, Munshiganj",,https://drive.google.com/file/d/1OaY677HeQNbobQ7fLiuKMrJOD2nOZvba/view?usp=sharing,https://www.facebook.com/100087149261578/posts/%E0%A6%AC%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%A3%E0%A7%81-%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%AC-%E0%A7%A7%E0%A7%A8-narasimha%E0%A6%A8%E0%A7%83%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9-%E0%A6%85%E0%A6%AC%E0%A6%A4%E0%A6%BE%E0%A6%B0-narasimha-is-not-just-a-mythological-being-/968418919406408/
Akshobhya,Bangladesh National Museum,Hindu Sculpture,Black Basalt,10th century CE,Bangladesh,Gallery 6,102 cm,"Ujani, Gopalganj",,https://drive.google.com/file/d/1485U3wdXScNj53AZlGMBIksWMVEdj-t9/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Shiva Linga with Face,Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,,,,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Umamaheshvara Panel (Shiva and Parvati),Bangladesh National Museum,Sculpture,Black Basalt,10th–11th century CE,Joradeul (Dhaka),Gallery 6,,Excavation find,"Maheshvara is either two-or four-armed, Uma is two-armed. Maheshvara’s bull is shown below his right foot, Uma’s lion below her left foot.
The10th-11th century image from Joradeul (Dhaka), now in BNM, is an excellent two-armed Maheshvara holding a small flower in the right hand and pressing the left breast of Uma with the left hand. Both the deities are shown inside a cave, perhaps indicating Mount Kailasa, and on top in the middle a meditative Shiva is shown with his bull and other deities. An illustration of trixula intertwined with a snake is at the right side of Shiva.",https://drive.google.com/file/d/1GJaMLzlT5Rnhcdfa6mYB9JfAFD8Bx8gX/view?usp=sharing,https://en.banglapedia.org/index.php/Iconography
Shiva as Lakulisa (Yogi Form),Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,Excavation find,,,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Surya (Sun God) — Pala Period,Bangladesh National Museum,Sculpture,Black Basalt,9th–11th century CE,Bangladesh,Gallery 6,,Excavation find,,https://drive.google.com/file/d/1xj-y1hlCa-Km1O_D5wfmzmZr2ras2IOP/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Mahishasuramardini Durga,Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,Excavation find,,https://drive.google.com/file/d/1FtggVoQzHe_xliiNzgGU3KfXHoZUonXC/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Kali — Fierce Goddess,Bangladesh National Museum,Sculpture,Black Basalt,11th–12th century CE,Bangladesh,Gallery 6,,Excavation find,,,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Ganesha — Elephant-Headed God,Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,Narayanpur (Comilla),,https://drive.google.com/file/d/1YMkdhTesnKKl_mdoFw8m54LpJgdKpvuj/view?usp=sharing,https://en.banglapedia.org/index.php/Iconography
Saraswati — Goddess of Learning,Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Depicts Saraswati seated on lotus, holding vina and book. A variant of ID 15, this Saraswati has a slightly different arrangement of her arms. The vina is held higher, and her lower right hand is in the vitarka mudra (teaching gesture). The book (pustaka) is shown as a bound manuscript. The pedestal includes not only the swan but also two female attendants playing drums. The background arch is carved with flying celestial beings (vidyadharas) offering garlands. This sculpture is more elaborate than the previous one, suggesting it might have been the main icon of a larger Saraswati temple. The refinements of the carving—the folds of the sari, the curls of hair, the strings of the vina—are exceptionally fine.",https://drive.google.com/file/d/1Hg8iIhbY6jWIivqSXBVN0YOln-6NbdpE/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Karttikeya (Skanda) — God of War,Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Depicts Karttikeya with six heads, riding peacock, holding spear. Karttikeya, also known as Murugan or Skanda, is the son of Shiva and Parvati and the commander of the celestial army. This sculpture shows him with six heads (shadanan), though only three are visible in the relief. He rides a peacock, whose feathers are carved with great detail. His primary hand holds a spear (shakti), the weapon given by his mother Parvati. His other hands hold a cock (his banner) and a vajra-like club. The six heads represent his six aspects and are arranged in a honeycomb pattern. This icon is rare in Bengal because Karttikeya worship was more common in South India. Its presence indicates the spread of pan-Indian Hindu traditions.",,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Manasa — Snake Goddess Stele,Bangladesh National Museum,Sculpture,Black Basalt,11th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Depicts Manasa seated on lotus with seven-hooded snake canopy. Manasa is the folk goddess of snakes, widely worshipped in Bengal to cure snakebites and ensure fertility. This stele shows Manasa in a rare sculptural form, as most images of her are clay or metal. She sits on a lotus, her two arms holding a snake in each hand. Above her, a seven-hooded cobra spreads its hoods like a canopy. Two female attendants stand on either side, each holding a pot of milk (an offering to snakes). The base includes worshippers offering eggs and milk. This sculpture blends high Hindu iconographic convention with local folk religion, illustrating how Bengal’s art accommodated diverse belief systems.",https://drive.google.com/file/d/1jCOvTE1_eXEpyKRBH6-_abbevQ4SBy5i/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Chamunda — Fierce Mother Goddess,Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,"Rampal, Munshiganj",Gallery 6,,Excavation find,"Depicts Chamunda, emaciated goddess dancing on corpse with skull garland. Chamunda is a form of the goddess Durga/Kali associated with cremation grounds and disease (specifically smallpox). This sculpture shows her as an emaciated old woman with sagging breasts, a sunken belly, and a skeletal face. She dances on a corpse, holding a skull-topped staff (khatvanga) and a noose. Her hair stands on end, and she wears a garland of skulls. Flames emanate from her body. This terrifying form was meant to scare away evil spirits and disease. Worshippers would offer blood sacrifices to appease her. The sculpture is carved with extreme realism, particularly in the depiction of emaciation, making it one of the most unsettling yet artistically powerful pieces in the collection.",https://drive.google.com/file/d/1T0DbHhJeiswWUHukR8uSIrd6If9S4QMn/view?usp=sharing,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bangladeshmuseum/2024/12/d8f59799807c417ca53fe13cf4d9a538.pdf
Saptamatrka (Seven Mother Goddesses) Panel,Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Panel depicting seven mother goddesses flanked by Shiva and Ganesha. The Saptamatrikas are seven mother goddesses who are the shaktis (energies) of major male gods: Brahmi (Brahma), Maheshvari (Shiva), Kaumari (Karttikeya), Vaishnavi (Vishnu), Varahi (Varaha), Indrani (Indra), and Chamunda (Durga). This long frieze shows all seven seated in a row, each with their distinctive attributes and vehicles. On the far left is Ganesha, and on the far right is a fierce form of Shiva called Virabhadra. The panel likely came from the lintel of a temple dedicated to the mother goddesses. Such panels were used for fertility rituals and to protect the community from harm. The carving is in low relief but each figure is distinct.",,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Lakshmi-Narayana (Vishnu with Lakshmi),Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Depicts divine couple Lakshmi and Vishnu seated together. This is the Vaishnava counterpart to the Umamaheshvara panel. Vishnu (Narayana) and his consort Lakshmi sit on a lotus throne. Vishnu has four arms holding his attributes, while Lakshmi has two arms, one holding a lotus and the other resting on Vishnu’s arm. Below them are their respective vehicles: Garuda (the eagle) for Vishnu, and two elephants (representing abundance) for Lakshmi. The composition symbolizes prosperity and preservation. The carving is more rounded and fleshy compared to the Shaiva panel, reflecting the different aesthetic ideals of Vaishnava iconography. The elephants are shown pouring water from pots, a classic motif from the Abhisheka Lakshmi imagery.",,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
