Museum Name,City,District,Division,Category,Established_Date,Opened_as_Museum_Date,Owner,Number_of_Galleries,Entry_Fee_Local_BDT,Entry_Fee_SAARC_BDT,Entry_Fee_Foreigner_BDT,Entry_Fee_Others,Opening_Hours,Closed_Days,Coordinates,Public_Transit_Access,Phone,Email,Website
Lalbagh Fort,Lalbagh,Dhaka,Dhaka,Site Museum,1678-1684,1985,Department of Archaeology,,10,,50,,Mon (13:30-17:00); Tue-Sat (9:00-17:00); Summer (10:00-18:00),Sundays; Fri closed 12:30-14:00,"23°43'08""N 90°23'17""E","Bus / Rickshaw to Lalbagh, Old Dhaka",9673018,,
Liberation War Museum,Agargaon,Dhaka,Dhaka,Liberation War Museum,1996,22 March 1996,Ministry of Liberation War Affairs,4 permanent galleries,,,,,,,"23°46'40""N 90°22'30""E",,,,https://www.liberationwarmuseumbd.org/page/our-museum
Lokayon Museum,Moulvibazar,Moulvibazar,Sylhet,Folk Museum,2006,2006,Private Management,,20,,,Free for students on educational tours,Mon-Sat (9:00-17:00),Sunday,,,"88056152149, 88056161599",,
Madaripur Museum,Madaripur,Madaripur,Dhaka,District Museum,31 March 2023,31 March 2023,Department of Archaeology,,,,,,Wed-Mon: Mar-Nov (5:00 PM-8:00 PM); Dec-Feb (4:00 PM-7:00 PM),,,,,,https://madaripurmuseum.org/
Archaeological Museum of Mahasthangarh,Shibganj,Bogra,Rajshahi,Archaeological Museum,1967,1967,Department of Archaeology,,,,,,,,,,,,
Mainamati Museum,Comilla,Comilla,Chattogram,Archaeological Ruins,1965,1965,Department of Archaeology,,,,,,Monday: 03:30 PM – 06:00 PM; Tue–Sat: 11:00 AM – 6:00 PM (1:00-1:30 PM lunch break); Friday: 11:00 AM – 06:00 PM (12:30-2:30 PM Jummah break),Sunday,,,8801770379345,,https://mainamati.archaeology.gov.bd
Michel Modhusudhan Dutt Museum,Sagardari,Jessore,Khulna,Memorial Museum,,,Department of Archaeology,,,,,,,,,,,,
Museum of Rajas',Zinda Bazar,Sylhet,Sylhet,Folk Museum,30 June 2006,30 June 2006,Educationist Dewan Talibur Raja Trust,2 galleries,,,,,,,"24°53'42""N 91°52'02""E",~10 km from Sylhet Osmany Airport; ~5 km from Sylhet Railway Station,,,
"Museum of Independence, Dhaka",Suhrawardy Udyan,Dhaka,Dhaka,National History Museum,25 March 2015,25 March 2015,Ministry of Cultural Affairs,2 halls,,,,,,,"23°44'12""N 90°24'02""E",,,,
National Museum of Science and Technology,Dhaka,Dhaka,Dhaka,Science Museum,26 April 1965,September 1966,Ministry of Science and Technology,8 galleries,,,,,,,"23°46'44""N 90°22'18""E",Car / Taxi / CNG from Dhaka city centre,,,https://en.wikipedia.org/wiki/National_Museum_of_Science_and_Technology_(Bangladesh)
Museum of Geological Survey of Bangladesh,Dhaka,Dhaka,Dhaka,Geological Museum,,,Geological Survey of Bangladesh,,,,,,,,,,,,
Mymensingh Museum,Mymensingh,Mymensingh,Mymensingh,Archaeological Museum,1969,1969,Department of Archaeology,3 rooms,,,,,,,"24°45'39""N 90°24'20""E",Rickshaw / Walk from city centre; Near Kachari area,,,https://en.m.wikipedia.org/wiki/Mymensingh_Museum
National Art Gallery (Bangladesh),Shahbag,Dhaka,Dhaka,Fine Arts Gallery,1974,2003,Shilpakala Academy,,,,,,,,"23°44'04""N 90°24'16""E",,,,https://en.wikipedia.org/wiki/National_Art_Gallery_(Bangladesh)
Natore Rajbari,Natore,Natore,Rajshahi,Palace Museum,,,Department of Archaeology,,,,,,,,,,,,
Osmani Museum,Sylhet,Sylhet,Sylhet,Military Memorial Museum,16 February 1985 - 4 March 1987,4 March 1987,Bangladesh National Museum,3 galleries,20,300,500,,"Mon, Tue, Wed, Sat, Sun (10:30-17:30); Fri (15:00-20:00)",,,~12 km from Sylhet Osmany Airport; ~3 km from Sylhet Railway Station,"8802996631561, 880171632677",,https://www.osmanimuseum.org.bd/
Panchagarh Rocks Museum,Panchagarh,Panchagarh,Rangpur,Geology Museum,1 March 1997,1 March 1997,Principal of Panchagarh Govt. Mohila College,2 galleries,20,,,10,"Sat, Sun, Mon, Wed, Thu, Fri: 9am to 5pm",Tuesday,,,,,https://panchagarh.info/place/rocks-museum/
Philatelic Museum,Dhaka,Dhaka,Dhaka,Philatelic Museum,(part of Postal Museum),,Postal Department,,,,,,,,,,,,
Bangladesh Police Liberation War Museum,Rajarbagh,Dhaka,Dhaka,War Memorial Museum,24 March 2013,24 March 2013,Bangladesh Police,7 galleries,,,,,,,"23°44'37""N 90°24'58""E",,,,https://en.wikipedia.org/wiki/Bangladesh_Police_Liberation_War_Museum
Postal Museum,Dhaka,Dhaka,Dhaka,Philatelic Museum,1966,1985,Postal Department,2 galleries,,,,,,,"23°43'50""N 90°24'30""E",,,,https://en.banglapedia.org/index.php/Postal_Museum
Rangpur Museum,Rangpur,Rangpur,Rangpur,Palace Museum,(Tajhat Palace built late 19th c.),,Department of Archaeology,(multiple exhibition rooms),,,,,,,,,,,
Sunamganj Hasan Raja Museum,Sunamganj,Sunamganj,Sylhet,Memorial Museum,,,Hason Raja Museum Trust,,,,,,,,,"Bus from Dhaka (Saidabad / Mohakhali / Fakirerpool) to Sunamganj, then Rickshaw",,,https://greenbelt.com.bd/hason-raja-museum/
Sonargaon Bangladesh Folk Art Museum,Sonargaon,Narayanganj,Dhaka,Folk Museum,12 March 1975,12 March 1975,Bangladesh Folk Art and Crafts Foundation,11 galleries,,,,,,,,,,,https://beautifulbangladesh.gov.bd/district-destination/narayanganj/heritage/117
Shilaidaha Kuthibari Memorial Museum,Shilaidaha,Kushtia,Khulna,Memorial Museum,1986,1986,Department of Archaeology,(6 smaller rooms),,,,,,,"23°55'11""N 89°13'12""E",,,,https://en.wikipedia.org/wiki/Shilaidaha_Rabindra_Kuthibari
Shahjadpur Kacharibari Memorial Museum,Shahzadpur,Sirajganj,Rajshahi,Memorial Museum,,,Department of Archaeology,3 galleries,20,,,,Mon-Sat (9:00-18:00),,"24°08'57""N 89°38'15""E",,,,https://en.wikipedia.org/wiki/Shahjadpur_Kachharibari
Tajhat Palace,Rangpur,Rangpur,Rangpur,Palace Museum,(palace built late 19th c.),,Department of Archaeology,(multiple galleries),,,,,,,,,,,
Tribal Museum,Rangamati,Rangamati,Chattogram,Tribal Museum,1978,1978,Department of Archaeology,(14 galleries),,,,,,,,,,,https://www.bangladesh.com/attractions/museums/tribal-cultural-museum/
Varendra Research Museum,Rajshahi,Rajshahi,Rajshahi,Research Museum,1910,27 November 1919,Rajshahi University,11 galleries,,,,,,,"24°22'26""N 88°36'14""E",,,,https://en.banglapedia.org/index.php/Varendra_Research_Museum
Zainul Abedin Museum,Mymensingh,Mymensingh,Mymensingh,Art Museum,1975,1975,Bangladesh National Museum,3 galleries,20,300,500,,,,"24°46'13""N 90°23'42""E",,,,
Zia Memorial Museum,Chittagong,Chittagong,Chattogram,Memorial Museum,1913,30th June 1981,Bangladesh National Museum,12-17 galleries,20,300,500,,10:30-17:30,,"22°20'54""N 91°49'26""E",,8800241361012,ziamuseum@gmail.com,https://ziamuseum.org.bd
Sreemangal Tea Resort and Museum,Sreemangal,Maulvibazar,Sylhet,Heritage Museum,16 September 2009,16 September 2009,Bangladesh Tea Board,4 rooms,,,,,,,,,,,
Bengal Center,Dhaka,Dhaka,Dhaka,Cultural Centre and Gallery,,,Private Management,,,,,,,,,,,,
K.B. Ahsaah (R:) Museum,Old Dhaka,Dhaka,Dhaka,Heritage Museum,1859-1869,9/20/1992,Bangladesh National Museum,,40,300,500,"20 (student), under 5 free",Sat-Wed: 10:30-17:30; Fri: 15:00-20:00,Thursday,"23°42'30.95""N 90°24'21.81""E",,,,https://www.ahsanmanzil.org.bd/site
Paharpur Archaeological Museum,Badalgachhi,Naogaon,Rajshahi,Site Museum,1956–57,1956–57,Department of Archaeology,,,,,,,,"25°01'52""N 88°58'50""E",,,,
Chittagong University Museum,Chittagong,Chittagong,Chattogram,Academic Museum,18 November 1966,14 June 1973,Chittagong University Authority,5,Free,Free,Free,Free,Sunday to Thursday (9:00am-3:00pm),Friday and Saturday,"22°28'12""N 91°46'58""E",,88031260600110,museum@cu.ac.bd,https://museum.cu.ac.bd/
Baliati Palace Museum,Saturia,Manikganj,Dhaka,Palace Museum,1790,1987,Department of Archaeology,1,30,200,400,10,Monday: 2:00 PM – 5:00 PM; Tuesday to Saturday: 10:00 AM – 5:00 PM,"Sunday (full day); Monday (half day, before 2:00 PM); Government holidays",23.9952°N 90.0419°E,,8801679462584,,https://baliatipalace.com
